route_id,route_short_name,route_long_name,route_desc
1,7A,JNAMBA007,Retiro - Pque. Nicolas Avellaneda: a Pque. Avellaneda
10,OE85,JMLPLAOESTE,Ramal 85: a Est. - 40 y 115
100,152A,JNAMBA152,La Boca - Olivos: A - a La Boca
1000,306B,JPBSAS306,Spegazzini - Pte. La Noria: a Pte. La Noria
1001,306B,JPBSAS306,Spegazzini - Pte. La Noria: a Spegazzini
1002,306C,JPBSAS306,Spegazzini - Pte. La Noria x Fair: a Pte. La Noria (por Av. Fair)
1003,306C,JPBSAS306,Spegazzini - Pte. La Noria x Fair: a Spegazzini
1004,306D,JPBSAS306,Spegazzini - Pte. La Noria x Fair - Au. Ricchieri: a Pte. La Noria (por Av. Fair - Au. Richieri)
1005,306D,JPBSAS306,Spegazzini - Pte. La Noria x Fair - Au. Ricchieri: a Spegazzini
1006,306E,JPBSAS306,Pte. La Noria - El Gaucho Trasradio: a El Gaucho Trasradio
1007,306E,JPBSAS306,Pte. La Noria - El Gaucho Trasradio: a Pte. La Noria
1008,306F,JPBSAS306,Pte. La Noria - Zaizar: a Zaizar
1009,306F,JPBSAS306,Pte. La Noria - Zaizar: a Pte. La Noria
101,214B64,JPBSAS214,Ramal B - 64 155 y 60 - Montevideo y 2: B X 64 (BLANCO) - IDA
1010,306G,JPBSAS306,Pte. La Noria - La Esperanza: a La Esperanza
1011,306G,JPBSAS306,Pte. La Noria - La Esperanza: a Pte. La Noria
1012,312R2,JPBSAS312,Ramal 2 - Pte. Brandsen - Merlo: a Easy x yrigoyen
1013,312R2,JPBSAS312,Ramal 2 - Pte. Brandsen - Merlo: a Est. merlo
1014,312R3,JPBSAS312,Ramal 3 - Pte. Brandsen - Villa Leon - Moreno x S. A. de Padua: a Villa Leon
1015,312R3,JPBSAS312,Ramal 3 - Pte. Brandsen - Villa Leon - Moreno x S. A. de Padua: a Est. Moreno
1016,329TR1,JPBSAS329,Troncal 1 - San Antonio de Padua - Moreno: a Padua x Zapiola
1017,329TR1,JPBSAS329,Troncal 1 - San Antonio de Padua - Moreno: a Est. Moreno
1018,33B,JNAMBA033,Cdad. Universitaria - Monte Chongolo x Barracas y Cement. de Avellaneda: C Cdad. Universitaria x Barracas
1019,33B,JNAMBA033,Cdad. Universitaria - Monte Chongolo x Barracas y Cement. de Avellaneda: x Barracas hasta Est. Sarandi
102,214B64,JPBSAS214,Ramal B - 64 155 y 60 - Montevideo y 2: B X 64 (BLANCO) - VUELTA
1020,329R2,JPBSAS329,Ramal 2 - San Antonio de Padua - Villa Gral. Zapiola: a Zapiola / padua
1021,329R2,JPBSAS329,Ramal 2 - San Antonio de Padua - Villa Gral. Zapiola: a Confiteria Zapiola
1022,422R2,JPBSAS422,Ramal 2 - Moreno - Bº Luchetti - C. Banco Provincia: a Bco Provincia x Luchetti
1023,33C,JNAMBA033,Cdad. Universitaria - Monte Chongolo x Dock Sud y Gral. Madariaga: M Cdad. Universitaria x Dock Sud
1024,33C,JNAMBA033,Cdad. Universitaria - Monte Chongolo x Dock Sud y Gral. Madariaga: x Dock Sud hasta Est. Sarandi
1025,33D,JNAMBA033,Cdad. Universitaria - Monte Chongolo x Dock Sud y Cement. de Avellaneda: C Cdad. Universitaria x Dock Sud
1026,33D,JNAMBA033,Cdad. Universitaria - Monte Chongolo x Dock Sud y Cement. de Avellaneda: x Dock Sud hasta Est. Sarandi
1027,46A,JNAMBA046,Eva Peron y Av. San Martin - La Boca: a La Boca x Alcorta
1028,46A,JNAMBA046,Eva Peron y Av. San Martin - La Boca: a San Justo x Alcorta
1029,720I,JMTIGR720,Canal - Bº El Arco: a B° El Arco
103,214D,JPBSAS214,Ramal D - Frigorifico Armour x Diagonal 73: D (AMARILLO) - IDA
1030,720I,JMTIGR720,Canal - Bº El Arco: a Canal
1031,46B,JNAMBA046,Eva Peron y Av. San Martin - Pza. Constitución: a La Boca x Iriarte
1032,46B,JNAMBA046,Eva Peron y Av. San Martin - Pza. Constitución: a San Justo x Iriarte
1033,720J,JMTIGR720,Benavidez - Bº Las Mascotas: a  B° El Arco
1034,720J,JMTIGR720,Benavidez - Bº Las Mascotas: a Canal
1035,720K,JMTIGR720,Canal - Villa La Ñata: a Villa LaÑata
1036,720K,JMTIGR720,Canal - Villa La Ñata: a Canal
1037,723A,JMTIGR723,Aviación: Aviación - IDA
1038,723A,JMTIGR723,Aviación: Aviación - VUELTA
1039,723B,JMTIGR723,Bancalari: a Bancalari - IDA
104,214D,JPBSAS214,Ramal D - Frigorifico Armour x Diagonal 73: D (AMARILLO) - VUELTA
1040,723B,JMTIGR723,Bancalari: a Bancalari - VUELTA
1041,723C,JMTIGR723,Los Dados: Los Dados - IDA
1042,723D,JMTIGR723,Est. Torcuato - Nordelta: a Nordelta
1043,723D,JMTIGR723,Est. Torcuato - Nordelta: a Est. Torcuato
1044,722A,JMTIGR722,Est. Torcuato x 202: Est. Torcuato x 202 - IDA
1045,295TR1,JPBSAS295,Ramal 1: Ramal 1 - IDA
1046,295TR1,JPBSAS295,Ramal 1: Ramal 1 - VUELTA
1047,295R2,JPBSAS295,Ramal 2 - Wilde x Bouchard: Ramal 2 - Wilde x Bouchard - IDA
1048,295R2,JPBSAS295,Ramal 2 - Wilde x Bouchard: Ramal 2 - Wilde x Bouchard - VUELTA
1049,295R4,JPBSAS295,Ramal 4 - Barracas x Magan: Ramal 4 - Barracas x Magan - IDA
105,273A,JPBSAS273,Ramal A 77 y 134 - Av. 32 y Calle 120: A1 (BLANCO)
1050,295R4,JPBSAS295,Ramal 4 - Barracas x Magan: Ramal 4 - Barracas x Magan - VUELTA
1051,49B,JNAMBA049,Pra. Junta - Isidro Casanova x Cnel. Olleros: a Isidro Casanova x Cnel. Olleros
1052,49B,JNAMBA049,Pra. Junta - Isidro Casanova x Cnel. Olleros: a Pra. Junta
1053,295R5,JPBSAS295,Ramal 5 - Barracas x Cordoba: Ramal 5 - Barracas x Cordoba - IDA
1054,295R5,JPBSAS295,Ramal 5 - Barracas x Cordoba: Ramal 5 - Barracas x Cordoba - VUELTA
1055,252A,JPBSAS252,Carapachay x Almeyra: a Carapachay x Almeyra - IDA
1056,252A,JPBSAS252,Carapachay x Almeyra: a Carapachay x Almeyra - VUELTA
1057,252B,JPBSAS252,Palomar x Av. de Mayo: Palomar x Av. de Mayo - IDA
1058,252B,JPBSAS252,Palomar x Av. de Mayo: Palomar x Av. de Mayo - VUELTA
