route_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1,100-1,a Pque. Avellaneda,100HI0089,0,1
10,141344-1,a Est. - 40 y 115,1022SI1001,1,10
100,10000-1,A - a La Boca,118HI1189,1,100
1000,192032-1,a Pte. La Noria,2740SI0001,0,1000
1001,192067-1,a Spegazzini,2740SI1001,1,1001
1002,192102-1,a Pte. La Noria (por Av. Fair),2741SI0001,0,1002
1003,192139-1,a Spegazzini,2741SI1001,1,1003
1004,65189-1,a Pte. La Noria (por Av. Fair - Au. Richieri),2742HI0001,0,1004
1005,65214-1,a Spegazzini,2742HI1001,1,1005
1006,192176-1,a El Gaucho Trasradio,2743SI0001,0,1006
1007,192201-1,a Pte. La Noria,2743SI1001,1,1007
1008,192226-1,a Zaizar,2744SI0001,0,1008
1009,192290-1,a Pte. La Noria,2744SI1001,1,1009
101,10120-1,B X 64 (BLANCO) - IDA,1201HI0001,0,101
1010,192354-1,a La Esperanza,2745SI0001,0,1010
1011,192396-1,a Pte. La Noria,2745SI1001,1,1011
1012,192438-1,a Easy x yrigoyen,2747SI0001,0,1012
1013,192519-1,a Est. merlo,2747SI1001,1,1013
1014,192600-1,a Villa Leon,2748SI0001,0,1014
1015,192700-1,a Est. Moreno,2748SI1001,1,1015
1016,192800-1,a Padua x Zapiola,2749SI0001,0,1016
1017,192867-1,a Est. Moreno,2749SI1001,1,1017
1018,192934-1,C Cdad. Universitaria x Barracas,274SI0001,0,1018
1019,192965-1,x Barracas hasta Est. Sarandi,274SI1001,1,1019
102,10166-1,B X 64 (BLANCO) - VUELTA,1201HI1001,1,102
1020,192996-1,a Zapiola / padua,2750SI0001,0,1020
1021,193070-1,a Confiteria Zapiola,2750SI1001,1,1021
1022,193144-1,a Bco Provincia x Luchetti,2752SI0001,0,1022
1023,193198-1,M Cdad. Universitaria x Dock Sud,275SI0001,0,1023
1024,193238-1,x Dock Sud hasta Est. Sarandi,275SI1001,1,1024
1025,193278-1,C Cdad. Universitaria x Dock Sud,276SI0001,0,1025
1026,193308-1,x Dock Sud hasta Est. Sarandi,276SI1001,1,1026
1027,193338-1,a La Boca x Alcorta,277SI0001,0,1027
1028,193418-1,a San Justo x Alcorta,277SI1001,1,1028
1029,193497-1,a B° El Arco,2789SI0001,0,1029
103,10212-1,D (AMARILLO) - IDA,1202HI0001,0,103
1030,193554-1,a Canal,2789SI1001,1,1030
1031,193611-1,a La Boca x Iriarte,278SI0001,0,1031
1032,193690-1,a San Justo x Iriarte,278SI1001,1,1032
1033,193767-1,a  B° El Arco,2790SI0001,0,1033
1034,193824-1,a Canal,2790SI1001,1,1034
1035,193881-1,a Villa LaÑata,2791SI0001,0,1035
1036,193938-1,a Canal,2791SI1001,1,1036
1037,193995-1,Aviación - IDA,2792SI0001,0,1037
1038,194052-1,Aviación - VUELTA,2792SI1001,1,1038
1039,194109-1,a Bancalari - IDA,2793SI0001,0,1039
104,10230-1,D (AMARILLO) - VUELTA,1202HI1001,1,104
1040,194166-1,a Bancalari - VUELTA,2793SI1001,1,1040
1041,194223-1,Los Dados - IDA,2794SI0001,0,1041
1042,194280-1,a Nordelta,2795SI0001,0,1042
1043,194337-1,a Est. Torcuato,2795SI1001,1,1043
1044,194394-1,Est. Torcuato x 202 - IDA,2796SI0001,0,1044
1045,194451-1,Ramal 1 - IDA,2797SI0001,0,1045
